path	bytes	sha256	id3_bytes	frames_sampled	sample_rate	bitrate_kbps	mpeg_version	estimated_duration_s	first_frame_hex
assets/res/raw-assets/11/11a0f766-4443-4ebe-85b9-0fdfef55157a.mp3	8312	0ac98e4ba710a3eded6211f4c63da486e95dd6c168f36ce4a631c3f362132d43	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/d0/d027c5a9-3567-4bf3-86c1-d8ca69b0f4a1.mp3	14144	e9249135a14b5b25bfa7bde08033143d479bceac8918520250ab51c3ad0bf650	32	3	44100	64	1	0.078	fffb58c4
assets/res/raw-assets/dc/dccb9783-9e9d-465a-94c9-203da94b1a25.mp3	7772	a597eda8e976cd74f9f6716f53b01595389dec260c73c4d5ac8e83cdca1c6798	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/2d/2d0ef9d2-19b8-4c62-a4a2-2bbbd15dc2c4.mp3	20696	81c53b959a184ee5b1f34a4afe67be8cf09f4f438bba8c13fd863df32d9d7fb8	32	2	44100	56	1	0.052	fffb48c4
assets/res/raw-assets/7b/7be8e857-ef0b-471f-a9bc-1ccf670efef0.mp3	22172	3aa18a985c5379e27110ad1f97a0d3d97cc2e325979b0b56f550f19611eb6aff	32	3	24000	40	2	0.096	fff35864
assets/res/raw-assets/fe/fea05297-0671-4956-ae09-ed5ac2be6a36.mp3	7772	7db900fd8a2be92d0f6c3282b3108206aadb7c4e4500df633fc743cf1edbdf33	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/2e/2ef76439-d492-43a0-b430-c245cae9efaf.mp3	7772	8ab3e60e7beb6ee20ba1133149cd698f269551da9cf9cf42ecd261dc54e8f7af	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/fd/fd6a332a-8045-42e5-a415-dd843fd1974e.mp3	15152	9f9c3224a605355d3db4fc5e002a93d77d98c28edfef90f90747e7a5233907c8	32	5	44100	56	1	0.131	fffb48c4
assets/res/raw-assets/ca/ca168d3a-b322-41c9-a90c-4064fb8f45e9.mp3	7772	b1d2e13fe5bc1cd80e478c3e4c585ee7af841db682a9af2829f5bc0a2e6b3280	32	1	24000	40	2	0.024	fff35864
assets/res/raw-assets/73/732004f9-7731-4034-9a5d-bc5707600a02.mp3	14900	bbc3a756bdd50b3e2452f8facdc17c80f4a6326bbbef9760006fdcf13f0091b1	32	13	44100	56	1	0.34	fffb48c4
