path	kind	bytes	sha256	prefix_hex	numeric_or_region_count	min_or_page	max_or_size	mean_or_note
assets/res/raw-assets/58/58c8d359-c132-41bc-8123-3121448277aa.atlas	atlas	212	0b1f852c92db106389eb66370b1fe305ca0901e4586a8cd2c117770c32046ca9	0a6176617461726672616d655f313030312e706e670a73697a653a203230382c	1	avatarframe_1001.png	208,206	
assets/res/raw-assets/5b/5bb279fe-c5d7-41f8-a1e3-08dc3185ab16.atlas	atlas	3910	8101d7c1e20e9668f75e7a02ebfe5dc5b693ea4a712a09cbdc672bd4ec261825	0a6176617461726672616d655f323030342e706e670a73697a653a203430382c	37	avatarframe_2004.png	408,408	
assets/res/raw-assets/5c/5ce7825b-16d3-4d16-b7b8-f53344b64e04.atlas	atlas	5404	9fa015e59b88125cd8821e6133162e7f01beae6c62975e2defde2ae901e580ee	0a4d61737369766577696e2e706e670a73697a653a20323034382c3531320a66	53	Massivewin.png	2048,512	
assets/res/raw-assets/63/63d5d870-ca46-40b8-8155-1221efd399c0.atlas	atlas	3232	18e85f176472b089c00a5f1d4c60fd6395506e12c51c7e3c755724a9f4f357a9	0a7370696e652e706e670a73697a653a203432382c3432380a666f726d61743a	29	spine.png	428,428	
assets/res/raw-assets/69/690153fd-aa18-4c40-b277-e0c3dcf39e53.atlas	atlas	5225	33473387b6a162e24688a5046aac3299e8f9911b6d2f71fe0e697e08050f57da	0a41706f63736c797074696377696e2e706e670a73697a653a20323034382c35	51	Apocslypticwin.png	2048,512	
assets/res/raw-assets/6a/6aafc8c5-d119-4c2e-8346-e9e23a4d3a83.atlas	atlas	291	b8900d28fb5cb8f24ce4db6f4235b1913b794f62dbe170cd255c8404c2e24e51	0a7265776172645f675f30312e706e670a73697a653a203532312c3132340a66	2	reward_g_01.png	521,124	
assets/res/raw-assets/7a/7a35d993-ffc4-4602-a3c1-d7781c4d6e25.plist	plist	20720	3e3e1e3f0758f7226551916f146e523709fe7e8fa7b4a8f515fefb46185865ab	3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554	51	angle;angleVariance;blendFuncDestination;blendFuncSource;duration;emitterType;finishColorAlpha;finishColorBlue;finishColorGreen;finishColorRed;finishColorVarianceAlpha;finishColorVarianceBlue;finishColorVarianceGreen;finishColorVarianceRed;finishParticleSize;finishParticleSizeVariance;gravityx;gravityy;maxParticles;maxRadius;maxRadiusVariance;minRadius;particleLifespan;particleLifespanVariance;radialAccelVariance;radialAcceleration;rotatePerSecond;rotatePerSecondVariance;rotationEnd;rotationEndVariance;rotationStart;rotationStartVariance;sourcePositionVariancex;sourcePositionVariancey;sourcePositionx;sourcePositiony;speed;speedVariance;startColorAlpha;startColorBlue;startColorGreen;startColorRed;startColorVarianceAlpha;startColorVarianceBlue;startColorVarianceGreen;startColorVarianceRed;startParticleSize;startParticleSizeVariance;tangentialAccelVariance;tangentialAcceleration;textureImageData		
assets/res/raw-assets/7b/7b0f368d-07a4-4db4-abd2-558522c29409.atlas	atlas	3240	b7bd86203ecd7db14b045d1c5bf929629b3c332514efb0e8f935432ec28ca870	0a57696e6e696e675f476f6c642e706e670a73697a653a203430312c3536310a	30	Winning_Gold.png	401,561	
assets/res/raw-assets/7b/7bd1fa47-eb2b-4100-a0ce-ec5bdfe8e127.atlas	atlas	5745	6558f29e56bdcb743dd46810654258906d3a3bbbe0918b6de1e0041814d957b9	0a656d6f6a695f305f312e706e670a73697a653a20313032342c3531320a666f	57	emoji_0_1.png	1024,512	
assets/res/raw-assets/85/85657699-5790-4caf-8142-9e2d848eb9d9.atlas	atlas	2263	db731c963b46ca4e5e14e52d2815a6fd6f58b29e13ec0e93bdd7ca89b7a182e3	0a6176617461726672616d655f765f302e706e670a73697a653a203332342c33	21	avatarframe_v_0.png	324,324	
