name	version	path	bytes	md5	package_url	remote_manifest_url
BookOfBooks	0.0.1	assets/res/raw-assets/76/762185ae-726f-4ddc-afa6-fe3f8c073429.manifest	210	b5b24ed4e71ebf5018e691204a203cfc	http://ifs.yonorummy.in/GameX/1.6.8.7/BookOfBooks	http://ifs.yonorummy.in/GameX/BookOfBooks/project.manifest
BoxingKing	0.0.1	assets/res/raw-assets/f3/f3ab472a-b55e-4386-9728-ee363083f591.manifest	206	2bee8cecd0628d5e002fc759e363e1ae	http://ifs.yonorummy.in/GameX/1.6.8.7/BoxingKing	http://ifs.yonorummy.in/GameX/BoxingKing/project.manifest
BruteForce	0.0.1	assets/res/raw-assets/23/2351dedb-5764-4862-bcaf-0bef5bf9ff48.manifest	206	cb56a54a23cc5a660a472a97e1862ec9	http://ifs.yonorummy.in/GameX/1.6.8.7/BruteForce	http://ifs.yonorummy.in/GameX/BruteForce/project.manifest
BurningBaseballs	0.0.1	assets/res/raw-assets/a8/a88b5780-04b4-47e7-ab4c-0e8236682439.manifest	230	0cb070ab6a8fe94d2cce6a756b38a0a8	http://ifs.yonorummy.in/GameX/1.6.8.7/BurningBaseballs	http://ifs.yonorummy.in/GameX/BurningBaseballs/project.manifest
BuyCard	0.0.1	assets/res/raw-assets/e0/e08fcf90-fc11-4c71-93af-97225bebc2ae.manifest	200	cd724b15bce6a3f6cf0d047ebed114c4	http://ifs.yonorummy.in/GameX/1.6.8.7/BuyCard	http://ifs.yonorummy.in/GameX/BuyCard/project.manifest
CandyRush1	0.0.1	assets/res/raw-assets/da/da2030d2-fa24-4313-be72-a2a369de7585.manifest	206	78f5c4513d7d40edcef2048293c67102	http://ifs.yonorummy.in/GameX/1.6.8.7/CandyRush1	http://ifs.yonorummy.in/GameX/CandyRush1/project.manifest
CandyRush2	0.0.1	assets/res/raw-assets/35/354b9f46-9621-44e8-bc09-9fd6fdc3b151.manifest	206	bbf7995a65ab0ba884cccd180e52820f	http://ifs.yonorummy.in/GameX/1.6.8.7/CandyRush2	http://ifs.yonorummy.in/GameX/CandyRush2/project.manifest
CandyRush3	0.0.1	assets/res/raw-assets/f1/f1aaf42d-2bb1-437a-8197-f14a0aaa9753.manifest	206	f4d92bf905a23518169df18dedc5c176	http://ifs.yonorummy.in/GameX/1.6.8.7/CandyRush3	http://ifs.yonorummy.in/GameX/CandyRush3/project.manifest
Cappadocia	0.0.1	assets/res/raw-assets/87/87bc35fd-4cfa-4549-9342-eee034e1531b.manifest	206	e55c7301ab770c88ef158484a7c193d0	http://ifs.yonorummy.in/GameX/1.6.8.7/Cappadocia	http://ifs.yonorummy.in/GameX/Cappadocia/project.manifest
CaribbeanFortune	0.0.1	assets/res/raw-assets/04/04c69595-cc9e-4592-9016-03cdbeb933df.manifest	230	61ec0b69f00c6c9eab685277e220ddf8	http://ifs.yonorummy.in/GameX/1.6.8.7/CaribbeanFortune	http://ifs.yonorummy.in/GameX/CaribbeanFortune/project.manifest
Carsh	0.0.1	assets/res/raw-assets/da/daf4cfa4-bcb9-44b2-bddd-94414bc2fa97.manifest	186	eedd2bd0c54534c541221e644d21454d	http://ifs.yonorummy.in/GameX/1.6.8.7/Carsh	http://ifs.yonorummy.in/GameX/Carsh/project.manifest
CasinoNight	0.0.1	assets/res/raw-assets/b5/b5cd9cae-dce4-427f-95bb-6cf032b22732.manifest	210	49f5e1808002f53b5038bca7f90d44d7	http://ifs.yonorummy.in/GameX/1.6.8.7/CasinoNight	http://ifs.yonorummy.in/GameX/CasinoNight/project.manifest
Champions	0.0.1	assets/res/raw-assets/8c/8cec98a3-d1b2-4a09-ac11-4fe2e703f8f7.manifest	202	f81e51d5170c8704544e6c1c7bf3b357	http://ifs.yonorummy.in/GameX/1.6.8.7/Champions	http://ifs.yonorummy.in/GameX/Champions/project.manifest
ChickenRoad1	0.0.1	assets/res/raw-assets/50/50486608-f15e-44d3-92cb-7ac4a4c376a3.manifest	214	2862f631d599a6dc31e301e274f6e5f8	http://ifs.yonorummy.in/GameX/1.6.8.7/ChickenRoad1	http://ifs.yonorummy.in/GameX/ChickenRoad1/project.manifest
ChickenRoad2	0.0.1	assets/res/raw-assets/32/325b4ae4-f758-4303-9598-4cb43f4c59e8.manifest	214	90bad5d9cef488fb92c5a43956acb4b0	http://ifs.yonorummy.in/GameX/1.6.8.7/ChickenRoad2	http://ifs.yonorummy.in/GameX/ChickenRoad2/project.manifest
ChickenRoad3	0.0.1	assets/res/raw-assets/b9/b9565bb1-10dc-4c89-ad7c-adaf1241900b.manifest	214	383692d45f22bdbd8315d9d10addecd7	http://ifs.yonorummy.in/GameX/1.6.8.7/ChickenRoad3	http://ifs.yonorummy.in/GameX/ChickenRoad3/project.manifest
