path	name	localized_name	version	package_url	remote_manifest_url
assets/res/raw-assets/1b/1b337676-8bdc-4d51-9504-b1a2cd3b73ca.manifest	Dabanggg	Dabanggg	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Dabanggg	http://ifs.yonorummy.in/GameX/Dabanggg/project.manifest
assets/res/raw-assets/1e/1e96b3d9-d626-4a2b-bd37-2aa0a266746f.manifest	RavePartyFever	RavePartyFever	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/RavePartyFever	http://ifs.yonorummy.in/GameX/RavePartyFever/project.manifest
assets/res/raw-assets/1f/1f23fbe6-ae34-4840-80a0-1aa78ea396dc.manifest	MegaBills	MegaBills	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/MegaBills	http://ifs.yonorummy.in/GameX/MegaBills/project.manifest
assets/res/raw-assets/1f/1f6d64e2-aaf5-4327-bbc8-4179f1b6457e.manifest	JadeEmpress	JadeEmpress	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/JadeEmpress	http://ifs.yonorummy.in/GameX/JadeEmpress/project.manifest
assets/res/raw-assets/21/21eeb02a-c428-4c1d-ac6e-3e0bee2b823b.manifest	MonkeyFortune2	MonkeyFortune2	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/MonkeyFortune2	http://ifs.yonorummy.in/GameX/MonkeyFortune2/project.manifest
assets/res/raw-assets/22/22169d7d-24d7-4620-9e62-8e842f755377.manifest	SimpleDollar3	SimpleDollar3	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/SimpleDollar3	http://ifs.yonorummy.in/GameX/SimpleDollar3/project.manifest
assets/res/raw-assets/23/2351dedb-5764-4862-bcaf-0bef5bf9ff48.manifest	BruteForce	BruteForce	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/BruteForce	http://ifs.yonorummy.in/GameX/BruteForce/project.manifest
assets/res/raw-assets/24/24783305-0d5e-43d6-a3ca-58e4dced91ca.manifest	GoldenExpress	GoldenExpress	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/GoldenExpress	http://ifs.yonorummy.in/GameX/GoldenExpress/project.manifest
assets/res/raw-assets/24/24bf34b7-116f-43fb-9972-a56d131c595f.manifest	Taurus	十倍金牛	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Taurus	http://ifs.yonorummy.in/GameX/Taurus/project.manifest
assets/res/raw-assets/25/255ed77e-7022-4e77-9506-37e6847fdc28.manifest	UnderseaPearl	UnderseaPearl	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/UnderseaPearl	http://ifs.yonorummy.in/GameX/UnderseaPearl/project.manifest
assets/res/raw-assets/25/2585352b-b1a7-4022-8976-fea744af42f8.manifest	SuperAce	SuperAce	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/SuperAce	http://ifs.yonorummy.in/GameX/SuperAce/project.manifest
assets/res/raw-assets/26/2606a540-62c0-44c8-9a9c-d5c9ea48d44e.manifest	MoneyComing	MoneyComing	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/MoneyComing	http://ifs.yonorummy.in/GameX/MoneyComing/project.manifest
assets/res/raw-assets/29/2922c908-df92-4c6b-92f9-2b98c4abb307.manifest	LampOfAladdin	阿拉丁	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/LampOfAladdin	http://ifs.yonorummy.in/GameX/LampOfAladdin/project.manifest
assets/res/raw-assets/29/297a79ee-c658-4437-aec6-2e7f7e4da7cf.manifest	SharkHunt	SharkHunt	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/SharkHunt	http://ifs.yonorummy.in/GameX/SharkHunt/project.manifest
assets/res/raw-assets/29/29de62c1-b561-4fdf-ac9a-d5a4d1a6a002.manifest	FreeCash	大厅free cash	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/FreeCash	http://ifs.yonorummy.in/GameX/FreeCash/project.manifest
assets/res/raw-assets/2a/2a98c32b-e3e5-4d9f-8105-206e81029e4e.manifest	Crazy777	Crazy777	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/Crazy777	http://ifs.yonorummy.in/GameX/Crazy777/project.manifest
assets/res/raw-assets/2a/2ac81cf3-af8d-49a0-acde-f789af716d62.manifest	MahjongWays2	MahjongWays2	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/MahjongWays2	http://ifs.yonorummy.in/GameX/MahjongWays2/project.manifest
assets/res/raw-assets/2a/2aef23db-15ee-497f-9349-c4c9dbc386f6.manifest	SpaceOrbs	SpaceOrbs	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/SpaceOrbs	http://ifs.yonorummy.in/GameX/SpaceOrbs/project.manifest
assets/res/raw-assets/2b/2bab6332-5b1d-4577-af97-e7bd26f2c297.manifest	PinataWins	PinataWins	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/PinataWins	http://ifs.yonorummy.in/GameX/PinataWins/project.manifest
assets/res/raw-assets/2c/2cd315e4-ec84-471c-96f5-b4b9aa100a0d.manifest	FortuneWheel777	FortuneWheel777	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/FortuneWheel777	http://ifs.yonorummy.in/GameX/FortuneWheel777/project.manifest
assets/res/raw-assets/2d/2dee90a9-0ec5-4524-9643-530b2cf252d9.manifest	VolcanicTiki	VolcanicTiki	0.0.1	http://ifs.yonorummy.in/GameX/1.6.8.7/VolcanicTiki	http://ifs.yonorummy.in/GameX/VolcanicTiki/project.manifest
